agent,state_id,severity,call_type,traffic,hosp_load,time_of_day,best_action,q_values
Ambulance,59,Low,Cardiac,Gridlock,Diversion,Late-Night,0,"[17.813, 0.0, 0.0, 0.0, -0.238]"
Ambulance,60,Low,Trauma,Clear,Normal,Night,3,"[3.411, 6.335, 0.073, 92.784, 8.429]"
Ambulance,61,Low,Trauma,Clear,Normal,Morning,3,"[11.923, 3.405, 7.257, 87.081, 4.007]"
Ambulance,62,Low,Trauma,Clear,Normal,Afternoon,3,"[1.984, 0.259, 11.406, 90.322, 12.026]"
Ambulance,63,Low,Trauma,Clear,Normal,Evening,2,"[-0.287, 6.858, 72.316, 0.0, 10.7]"
Ambulance,64,Low,Trauma,Clear,Normal,Late-Night,3,"[11.469, 14.426, 6.552, 89.063, 6.686]"
Ambulance,65,Low,Trauma,Clear,Busy,Night,3,"[2.41, 13.569, 5.019, 85.908, 0.604]"
Ambulance,66,Low,Trauma,Clear,Busy,Morning,3,"[0.0, 0.0, 0.0, 77.697, 0.0]"
Ambulance,67,Low,Trauma,Clear,Busy,Afternoon,3,"[3.222, 10.981, 0.27, 83.421, 2.525]"
Ambulance,68,Low,Trauma,Clear,Busy,Evening,0,"[50.743, 3.065, 1.144, 0.0, 0.0]"
Ambulance,69,Low,Trauma,Clear,Busy,Late-Night,3,"[10.006, 11.443, 2.492, 88.369, 17.743]"
Ambulance,70,Low,Trauma,Clear,Diversion,Night,3,"[1.705, 1.181, 7.662, 75.477, 0.164]"
Ambulance,71,Low,Trauma,Clear,Diversion,Morning,1,"[0.0, 37.536, 2.276, 2.728, 0.0]"
Ambulance,72,Low,Trauma,Clear,Diversion,Afternoon,3,"[1.61, -0.683, 1.375, 71.14, 0.663]"
Ambulance,73,Low,Trauma,Clear,Diversion,Evening,0,"[35.598, 0.0, 7.568, 0.0, 0.0]"
Ambulance,74,Low,Trauma,Clear,Diversion,Late-Night,3,"[-0.417, 1.513, 5.362, 82.714, 1.453]"
Ambulance,75,Low,Trauma,Moderate,Normal,Night,3,"[-0.343, 6.767, 3.513, 86.158, 0.627]"
Ambulance,76,Low,Trauma,Moderate,Normal,Morning,3,"[11.192, 13.393, 15.379, 88.142, 10.18]"
Ambulance,77,Low,Trauma,Moderate,Normal,Afternoon,3,"[6.444, 10.024, 14.051, 92.842, 3.551]"
Ambulance,78,Low,Trauma,Moderate,Normal,Evening,3,"[21.107, 4.661, 6.64, 91.861, 19.448]"
Ambulance,79,Low,Trauma,Moderate,Normal,Late-Night,3,"[2.168, -0.764, 9.759, 88.642, 15.621]"
Ambulance,80,Low,Trauma,Moderate,Busy,Night,3,"[4.465, 0.0, 0.0, 80.599, 1.393]"
Ambulance,81,Low,Trauma,Moderate,Busy,Morning,3,"[-0.357, 6.128, 0.687, 89.38, -0.301]"
Ambulance,82,Low,Trauma,Moderate,Busy,Afternoon,3,"[22.2, -0.138, 9.546, 91.208, 6.869]"
Ambulance,83,Low,Trauma,Moderate,Busy,Evening,3,"[13.6, -0.205, -0.025, 89.831, 8.786]"
Ambulance,84,Low,Trauma,Moderate,Busy,Late-Night,3,"[-0.473, -0.022, -0.356, 80.088, -0.358]"
Ambulance,85,Low,Trauma,Moderate,Diversion,Night,3,"[4.656, 0.0, 0.0, 46.913, 15.789]"
Ambulance,86,Low,Trauma,Moderate,Diversion,Morning,4,"[2.549, 10.691, 0.0, 0.0, 68.759]"
Ambulance,87,Low,Trauma,Moderate,Diversion,Afternoon,3,"[1.99, -0.553, 13.017, 76.259, 6.641]"
Ambulance,88,Low,Trauma,Moderate,Diversion,Evening,0,"[75.796, -0.32, 1.579, 0.0, 5.74]"
Ambulance,89,Low,Trauma,Moderate,Diversion,Late-Night,0,"[65.483, -0.307, 13.451, 0.0, -0.192]"
Ambulance,90,Low,Trauma,Heavy,Normal,Night,1,"[-0.191, 71.778, -0.14, 2.242, 0.0]"
Ambulance,91,Low,Trauma,Heavy,Normal,Morning,3,"[11.283, 29.758, 10.92, 94.68, 9.485]"
Ambulance,92,Low,Trauma,Heavy,Normal,Afternoon,3,"[0.677, 16.18, 13.909, 90.738, 6.306]"
Ambulance,93,Low,Trauma,Heavy,Normal,Evening,3,"[9.79, 18.533, 1.434, 94.002, 3.056]"
Ambulance,94,Low,Trauma,Heavy,Normal,Late-Night,1,"[3.968, 87.741, 8.165, 4.847, 0.544]"
Ambulance,95,Low,Trauma,Heavy,Busy,Night,1,"[0.0, 41.307, 0.0, 0.0, -0.209]"
Ambulance,96,Low,Trauma,Heavy,Busy,Morning,3,"[4.969, 1.042, 3.16, 86.645, 5.332]"
Ambulance,97,Low,Trauma,Heavy,Busy,Afternoon,1,"[4.87, 91.503, 1.347, 19.993, -0.846]"
Ambulance,98,Low,Trauma,Heavy,Busy,Evening,3,"[7.135, 3.759, 4.235, 88.822, 3.379]"
Ambulance,99,Low,Trauma,Heavy,Busy,Late-Night,3,"[8.365, 0.0, 2.475, 65.328, -0.077]"
Ambulance,100,Low,Trauma,Heavy,Diversion,Night,3,"[0.0, 0.0, 0.0, 15.982, 0.332]"
Ambulance,101,Low,Trauma,Heavy,Diversion,Morning,1,"[1.799, 78.601, 1.239, 9.284, 2.475]"
Ambulance,102,Low,Trauma,Heavy,Diversion,Afternoon,1,"[12.622, 85.323, 1.225, 9.982, 2.448]"
Ambulance,103,Low,Trauma,Heavy,Diversion,Evening,3,"[3.351, 16.096, 8.735, 74.913, 6.167]"
Ambulance,104,Low,Trauma,Heavy,Diversion,Late-Night,3,"[0.0, 0.996, 0.014, 54.864, 0.0]"
Ambulance,105,Low,Trauma,Gridlock,Normal,Night,2,"[0.0, 6.194, 32.57, 5.18, 0.0]"
Ambulance,106,Low,Trauma,Gridlock,Normal,Morning,3,"[2.286, 0.0, 6.729, 88.675, 1.723]"
Ambulance,107,Low,Trauma,Gridlock,Normal,Afternoon,1,"[3.438, 85.412, 8.804, 10.124, 9.088]"
Ambulance,108,Low,Trauma,Gridlock,Normal,Evening,3,"[15.675, 8.968, 6.496, 93.391, 11.132]"
Ambulance,109,Low,Trauma,Gridlock,Normal,Late-Night,1,"[0.152, 70.866, 3.936, 1.403, 2.771]"
Ambulance,110,Low,Trauma,Gridlock,Busy,Night,0,"[20.323, 0.0, 0.0, 0.0, 0.707]"
Ambulance,111,Low,Trauma,Gridlock,Busy,Morning,3,"[1.052, 0.0, 1.49, 76.778, 0.0]"
Ambulance,112,Low,Trauma,Gridlock,Busy,Afternoon,1,"[0.019, 74.203, 8.736, 0.0, 0.491]"
Ambulance,113,Low,Trauma,Gridlock,Busy,Evening,0,"[79.073, 10.082, -0.052, 12.614, 0.521]"
Ambulance,114,Low,Trauma,Gridlock,Busy,Late-Night,1,"[0.0, 64.503, 3.098, 0.816, 0.0]"
Ambulance,115,Low,Trauma,Gridlock,Diversion,Night,0,"[23.634, 0.0, 0.0, 0.0, 0.0]"
Ambulance,116,Low,Trauma,Gridlock,Diversion,Morning,0,"[51.933, 1.702, 1.378, 0.755, 6.231]"
Ambulance,117,Low,Trauma,Gridlock,Diversion,Afternoon,0,"[49.58, 0.0, -0.238, 0.0, 0.0]"
Ambulance,118,Low,Trauma,Gridlock,Diversion,Evening,2,"[0.0, 3.965, 60.885, 0.0, 2.275]"
Ambulance,119,Low,Trauma,Gridlock,Diversion,Late-Night,0,"[48.063, 0.0, 0.0, 0.0, 0.0]"
Ambulance,120,Low,Respiratory,Clear,Normal,Night,3,"[15.219, 10.038, 16.926, 94.098, 5.221]"
Ambulance,121,Low,Respiratory,Clear,Normal,Morning,3,"[6.042, 7.726, 5.43, 90.409, 0.872]"
Ambulance,122,Low,Respiratory,Clear,Normal,Afternoon,3,"[15.628, 7.916, 17.505, 91.989, 12.013]"
Ambulance,123,Low,Respiratory,Clear,Normal,Evening,3,"[-0.358, 1.562, 2.991, 88.229, 1.209]"
Ambulance,124,Low,Respiratory,Clear,Normal,Late-Night,3,"[13.795, 21.165, 20.038, 93.246, 5.986]"
Ambulance,125,Low,Respiratory,Clear,Busy,Night,3,"[5.228, 2.187, 4.187, 90.307, 2.184]"
Ambulance,126,Low,Respiratory,Clear,Busy,Morning,3,"[1.157, 2.056, 3.505, 85.397, 1.836]"
Ambulance,127,Low,Respiratory,Clear,Busy,Afternoon,3,"[5.208, 4.355, 17.885, 89.348, 0.046]"
Ambulance,128,Low,Respiratory,Clear,Busy,Evening,3,"[-0.186, -0.225, -0.269, 75.137, 2.632]"
Ambulance,129,Low,Respiratory,Clear,Busy,Late-Night,3,"[1.696, 5.228, 5.388, 90.522, 0.0]"
Ambulance,130,Low,Respiratory,Clear,Diversion,Night,3,"[0.937, 1.133, 1.846, 87.242, 0.0]"
Ambulance,131,Low,Respiratory,Clear,Diversion,Morning,0,"[61.178, 0.0, -0.323, 0.0, 0.074]"
Ambulance,132,Low,Respiratory,Clear,Diversion,Afternoon,3,"[0.767, 1.451, 2.041, 78.775, -0.58]"
Ambulance,133,Low,Respiratory,Clear,Diversion,Evening,3,"[-0.368, 0.446, 0.0, 46.254, 0.0]"
Ambulance,134,Low,Respiratory,Clear,Diversion,Late-Night,3,"[0.0, 2.264, 0.0, 86.949, 0.629]"
Ambulance,135,Low,Respiratory,Moderate,Normal,Night,3,"[0.49, -0.337, 5.364, 93.8, 0.006]"
Ambulance,136,Low,Respiratory,Moderate,Normal,Morning,3,"[7.048, 11.032, 8.777, 88.717, 17.407]"
Ambulance,137,Low,Respiratory,Moderate,Normal,Afternoon,3,"[13.607, 27.123, 17.382, 93.545, 10.299]"
Ambulance,138,Low,Respiratory,Moderate,Normal,Evening,3,"[14.303, 8.611, 4.714, 96.37, 1.982]"
Ambulance,139,Low,Respiratory,Moderate,Normal,Late-Night,3,"[10.171, 20.963, 8.798, 87.38, 2.63]"
Ambulance,140,Low,Respiratory,Moderate,Busy,Night,3,"[2.338, 1.244, -0.292, 83.758, 2.196]"
Ambulance,141,Low,Respiratory,Moderate,Busy,Morning,3,"[6.359, 15.062, -0.153, 89.542, 0.665]"
Ambulance,142,Low,Respiratory,Moderate,Busy,Afternoon,3,"[12.485, 0.006, -0.469, 91.372, 3.364]"
Ambulance,143,Low,Respiratory,Moderate,Busy,Evening,3,"[0.049, 9.016, 9.926, 86.719, 15.057]"
Ambulance,144,Low,Respiratory,Moderate,Busy,Late-Night,3,"[8.517, 7.761, 4.127, 88.892, 3.94]"
Ambulance,145,Low,Respiratory,Moderate,Diversion,Night,0,"[60.7, 1.043, 0.0, 0.0, 3.3]"
Ambulance,146,Low,Respiratory,Moderate,Diversion,Morning,3,"[0.288, 9.792, 13.987, 83.565, 0.703]"
Ambulance,147,Low,Respiratory,Moderate,Diversion,Afternoon,3,"[0.392, 12.465, 3.822, 92.72, 6.111]"
Ambulance,148,Low,Respiratory,Moderate,Diversion,Evening,3,"[8.949, 4.461, 0.0, 84.235, -0.322]"
Ambulance,149,Low,Respiratory,Moderate,Diversion,Late-Night,2,"[1.633, 0.0, 61.64, 1.313, -0.443]"
Ambulance,150,Low,Respiratory,Heavy,Normal,Night,1,"[4.603, 80.019, 7.997, 0.0, -0.584]"
Ambulance,151,Low,Respiratory,Heavy,Normal,Morning,1,"[19.504, 86.561, 16.407, 12.817, 9.548]"
Ambulance,152,Low,Respiratory,Heavy,Normal,Afternoon,3,"[10.95, 18.243, 9.901, 89.573, 3.889]"
Ambulance,153,Low,Respiratory,Heavy,Normal,Evening,1,"[10.444, 95.367, 20.899, 18.822, 13.786]"
Ambulance,154,Low,Respiratory,Heavy,Normal,Late-Night,3,"[2.812, 6.12, 4.636, 74.97, 6.994]"
Ambulance,155,Low,Respiratory,Heavy,Busy,Night,2,"[0.024, 2.873, 54.55, 0.0, 2.612]"
Ambulance,156,Low,Respiratory,Heavy,Busy,Morning,1,"[9.944, 90.666, 7.797, 14.233, 7.523]"
Ambulance,157,Low,Respiratory,Heavy,Busy,Afternoon,1,"[8.983, 87.898, -0.095, 20.198, 26.315]"
Ambulance,158,Low,Respiratory,Heavy,Busy,Evening,1,"[7.609, 92.514, 6.955, 32.548, 4.517]"
Ambulance,159,Low,Respiratory,Heavy,Busy,Late-Night,3,"[5.368, 9.492, 0.24, 76.822, 2.046]"
Ambulance,160,Low,Respiratory,Heavy,Diversion,Night,0,"[43.937, 0.0, 0.0, 0.0, 0.0]"
Ambulance,161,Low,Respiratory,Heavy,Diversion,Morning,1,"[4.673, 82.204, 8.01, 3.171, 0.142]"
Ambulance,162,Low,Respiratory,Heavy,Diversion,Afternoon,1,"[4.154, 82.431, 3.786, 8.425, 8.679]"
Ambulance,163,Low,Respiratory,Heavy,Diversion,Evening,3,"[0.644, 10.82, 5.76, 85.444, 4.235]"
Ambulance,164,Low,Respiratory,Heavy,Diversion,Late-Night,3,"[0.076, 4.094, 1.737, 64.277, 0.0]"
Ambulance,165,Low,Respiratory,Gridlock,Normal,Night,3,"[0.0, 0.0, 0.0, 59.647, 2.799]"
Ambulance,166,Low,Respiratory,Gridlock,Normal,Morning,3,"[-0.271, 17.478, 3.624, 89.328, 6.088]"
Ambulance,167,Low,Respiratory,Gridlock,Normal,Afternoon,3,"[11.358, 0.0, 4.895, 86.784, 0.918]"
Ambulance,168,Low,Respiratory,Gridlock,Normal,Evening,1,"[7.287, 96.382, 4.014, 11.114, 20.269]"
Ambulance,169,Low,Respiratory,Gridlock,Normal,Late-Night,1,"[10.401, 86.775, 5.185, 8.863, 5.241]"
Ambulance,170,Low,Respiratory,Gridlock,Busy,Night,1,"[-0.238, 20.342, 0.0, 0.0, 0.0]"
Ambulance,171,Low,Respiratory,Gridlock,Busy,Morning,1,"[3.766, 87.687, 10.41, 4.263, 5.692]"
Ambulance,172,Low,Respiratory,Gridlock,Busy,Afternoon,1,"[0.239, 76.762, 7.152, 6.373, 0.0]"
Ambulance,173,Low,Respiratory,Gridlock,Busy,Evening,1,"[2.738, 88.398, 0.0, 2.266, 4.555]"
Ambulance,174,Low,Respiratory,Gridlock,Busy,Late-Night,3,"[0.0, 0.0, -0.221, 66.778, 4.924]"
Ambulance,175,Low,Respiratory,Gridlock,Diversion,Night,3,"[-0.136, 0.0, 0.0, 25.974, 0.0]"
Ambulance,176,Low,Respiratory,Gridlock,Diversion,Morning,1,"[0.0, 65.273, 3.216, 0.0, 0.966]"
Ambulance,177,Low,Respiratory,Gridlock,Diversion,Afternoon,3,"[0.0, 2.045, 14.504, 60.793, 0.0]"
Ambulance,178,Low,Respiratory,Gridlock,Diversion,Evening,1,"[4.258, 72.977, 0.0, 3.907, 0.196]"
Ambulance,179,Low,Respiratory,Gridlock,Diversion,Late-Night,0,"[37.387, 0.0, 0.0, 0.0, -0.159]"
Ambulance,180,Low,Stroke,Clear,Normal,Night,2,"[5.494, 0.0, 73.669, 0.0, 7.374]"
Ambulance,181,Low,Stroke,Clear,Normal,Morning,3,"[0.341, -0.445, -0.32, 62.353, 0.0]"
Ambulance,182,Low,Stroke,Clear,Normal,Afternoon,1,"[0.362, 69.586, 0.0, 3.416, -0.439]"
Ambulance,183,Low,Stroke,Clear,Normal,Evening,1,"[0.317, 42.072, 0.0, 2.661, 0.0]"
Ambulance,184,Low,Stroke,Clear,Normal,Late-Night,3,"[-0.331, 7.177, 0.921, 82.104, -0.55]"
Ambulance,185,Low,Stroke,Clear,Busy,Night,0,"[59.043, 0.0, 12.344, 4.827, 3.206]"
Ambulance,186,Low,Stroke,Clear,Busy,Morning,2,"[0.0, 0.0, 46.834, 0.0, 6.133]"
Ambulance,187,Low,Stroke,Clear,Busy,Afternoon,3,"[-0.483, -0.306, -0.362, 72.492, -0.45]"
Ambulance,188,Low,Stroke,Clear,Busy,Evening,0,"[35.427, 0.0, -0.279, 0.0, 0.0]"
Ambulance,189,Low,Stroke,Clear,Busy,Late-Night,3,"[-0.171, 6.215, 0.0, 75.967, -0.099]"
Ambulance,190,Low,Stroke,Clear,Diversion,Night,3,"[0.0, 0.0, 0.0, 56.952, 0.0]"
Ambulance,191,Low,Stroke,Clear,Diversion,Morning,1,"[-0.018, 24.01, 0.0, 0.0, 0.0]"
Ambulance,192,Low,Stroke,Clear,Diversion,Afternoon,3,"[3.493, 0.0, 0.0, 42.335, 0.0]"
Ambulance,193,Low,Stroke,Clear,Diversion,Evening,2,"[0.0, 0.0, 26.328, 0.0, 0.0]"
Ambulance,194,Low,Stroke,Clear,Diversion,Late-Night,0,"[43.785, 0.0, 0.0, 0.0, -0.125]"
Ambulance,195,Low,Stroke,Moderate,Normal,Night,1,"[-0.36, 62.541, 0.0, 3.524, -0.378]"
Ambulance,196,Low,Stroke,Moderate,Normal,Morning,3,"[0.062, 11.329, -0.278, 90.355, 7.981]"
Ambulance,197,Low,Stroke,Moderate,Normal,Afternoon,2,"[3.802, 2.607, 74.564, 3.445, 10.191]"
Ambulance,198,Low,Stroke,Moderate,Normal,Evening,3,"[0.819, 3.472, 0.263, 83.222, 11.605]"
Ambulance,199,Low,Stroke,Moderate,Normal,Late-Night,3,"[4.226, 0.0, -0.527, 71.075, 0.876]"
Ambulance,200,Low,Stroke,Moderate,Busy,Night,3,"[0.0, -0.387, 0.0, 47.988, -0.353]"
Ambulance,201,Low,Stroke,Moderate,Busy,Morning,3,"[2.95, 3.548, -0.345, 81.614, 0.085]"
Ambulance,202,Low,Stroke,Moderate,Busy,Afternoon,3,"[0.252, 0.0, 0.0, 82.699, 0.554]"
Ambulance,203,Low,Stroke,Moderate,Busy,Evening,2,"[-0.335, 0.0, 48.165, 2.772, 0.0]"
Ambulance,204,Low,Stroke,Moderate,Busy,Late-Night,2,"[-0.383, -0.285, 46.309, 3.511, 0.0]"
Ambulance,205,Low,Stroke,Moderate,Diversion,Night,2,"[0.0, 0.0, 21.005, 0.0, 0.0]"
Ambulance,206,Low,Stroke,Moderate,Diversion,Morning,3,"[0.0, 0.0, 0.0, 62.304, 0.0]"
Ambulance,207,Low,Stroke,Moderate,Diversion,Afternoon,3,"[0.0, 0.0, -0.143, 51.887, 1.558]"
Ambulance,208,Low,Stroke,Moderate,Diversion,Evening,2,"[0.0, 0.0, 25.103, 0.0, 0.0]"
Ambulance,209,Low,Stroke,Moderate,Diversion,Late-Night,1,"[-0.23, 40.439, 0.0, 0.0, 4.754]"
Ambulance,210,Low,Stroke,Heavy,Normal,Night,0,"[30.012, 0.0, 0.0, 0.0, 0.0]"
Ambulance,211,Low,Stroke,Heavy,Normal,Morning,3,"[1.45, 0.0, 4.126, 78.701, 0.0]"
Ambulance,212,Low,Stroke,Heavy,Normal,Afternoon,3,"[1.255, 5.382, 2.987, 85.567, 17.036]"
Ambulance,213,Low,Stroke,Heavy,Normal,Evening,1,"[2.071, 87.13, 9.215, 9.298, 7.959]"
Ambulance,214,Low,Stroke,Heavy,Normal,Late-Night,1,"[-0.288, 52.557, 0.0, 0.0, -0.054]"
Ambulance,215,Low,Stroke,Heavy,Busy,Night,4,"[0.0, 0.0, 6.906, 0.0, 30.625]"
Ambulance,216,Low,Stroke,Heavy,Busy,Morning,3,"[-0.572, 0.0, 0.446, 66.172, -0.17]"
Ambulance,217,Low,Stroke,Heavy,Busy,Afternoon,2,"[0.0, 0.0, 63.448, 0.923, 0.0]"
Ambulance,218,Low,Stroke,Heavy,Busy,Evening,1,"[0.299, 78.484, 1.107, 0.0, 8.106]"
Ambulance,219,Low,Stroke,Heavy,Busy,Late-Night,0,"[22.032, 0.0, 7.244, 0.0, 0.0]"
Ambulance,220,Low,Stroke,Heavy,Diversion,Night,0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Ambulance,221,Low,Stroke,Heavy,Diversion,Morning,3,"[0.0, 0.0, 0.0, 56.021, 0.0]"
Ambulance,222,Low,Stroke,Heavy,Diversion,Afternoon,0,"[41.723, 10.754, 0.0, 0.0, -0.281]"
Ambulance,223,Low,Stroke,Heavy,Diversion,Evening,0,"[59.85, 0.0, 0.0, 7.375, 2.484]"
Ambulance,224,Low,Stroke,Heavy,Diversion,Late-Night,1,"[0.0, 35.676, 0.0, 0.0, 0.0]"
Ambulance,225,Low,Stroke,Gridlock,Normal,Night,3,"[4.317, 0.975, 0.0, 16.292, 0.0]"
Ambulance,226,Low,Stroke,Gridlock,Normal,Morning,4,"[6.4, 0.0, 1.955, 0.0, 62.094]"
Ambulance,227,Low,Stroke,Gridlock,Normal,Afternoon,1,"[2.615, 49.024, 0.0, 0.0, 0.0]"
Ambulance,228,Low,Stroke,Gridlock,Normal,Evening,3,"[1.669, 8.38, 0.0, 74.154, 1.773]"
